epsilon,run,private_count,private_mean,error_count,error_mean
1.0,18,160.0516,29.7224,0.051637319172158413,0.16243314566392186
1.0,19,158.4571,29.6034,1.542930177458203,0.04337750760246095
1.0,20,159.3328,30.3405,0.6672346929972832,0.7805147373743928
1.0,21,159.9665,29.844,0.03346237905040539,0.2840134610626244
1.0,22,160.1059,28.8268,0.10586406943366455,0.7331579770640317
1.0,23,160.3097,30.2593,0.3096588030144005,0.6993160018694375
1.0,24,160.2272,29.8651,0.22718124219389324,0.3051465102443345
1.0,25,161.4628,29.3245,1.4627993495940927,0.2354737961074278
1.0,26,159.1422,29.6353,0.8578103371139889,0.07529396524487453
1.0,27,159.8041,29.9016,0.19594561672229815,0.3415703404826935
1.0,28,161.6097,29.4559,1.6096691731529233,0.10408411329607148
1.0,29,159.2529,29.807,0.7470942711539408,0.24701163456975195
1.0,30,159.4015,29.8709,0.5985425748940258,0.3108845234877258
1.0,31,159.8345,29.6824,0.16549216011466683,0.12243549679362786
1.0,32,158.3449,29.6454,1.6551121409131895,0.08539346655162916
1.0,33,159.8986,29.6171,0.1014400358202181,0.057063877051998446
1.0,34,158.9094,29.7526,1.0905595526848515,0.19259223725657648
1.0,35,161.2931,29.3092,1.2931470826519273,0.25077316268206573
1.0,36,158.3468,28.6445,1.653237716229114,0.9155183158763407
1.0,37,160.334,29.6323,0.33399550748964657,0.0723113378291913
1.0,38,160.098,29.3296,0.09804823282362918,0.23042963602273403
1.0,39,159.7539,29.6228,0.2461409870212492,0.06282866009381394
1.0,40,159.9935,30.6736,0.006487279248744926,1.1135957948464146
1.0,41,158.7013,29.7084,1.2987249544417523,0.14843111455815716
1.0,42,159.7876,29.5135,0.21240450162042634,0.04650558646598668
1.0,43,160.5713,29.7058,0.5712756808591166,0.14577761842796022
1.0,44,164.0462,29.1521,4.0462396273044305,0.4078506548435108
1.0,45,158.4308,29.7386,1.5691634336852474,0.1786306755340803
1.0,46,160.1705,29.3797,0.17052006990803648,0.1802681368735506
1.0,47,158.1601,29.0307,1.839865817991324,0.5292727682281395
1.0,48,161.553,29.2727,1.5529713319056384,0.2873411947039948
1.0,49,159.5642,29.3226,0.4358060892349158,0.23735186227146343
1.0,50,159.6575,28.9677,0.3425007151081445,0.5923133203475608
2.0,1,160.0194,29.2599,0.019432570732789145,0.3001221421028646
2.0,2,160.459,29.4459,0.4590374307996399,0.11407772397567939
2.0,3,160.0417,29.7742,0.041703755294321354,0.21416634538946866
2.0,4,160.1796,29.5702,0.179592429925151,0.010228267802219193
2.0,5,159.7836,29.499,0.21641750530656623,0.060968979530809264
2.0,6,160.207,30.227,0.20698098500488982,0.6669524241221048
2.0,7,160.1955,29.5784,0.1955432732026452,0.018421249561203723
2.0,8,160.3093,29.5492,0.3092991718164342,0.010819292041801987
2.0,9,158.9411,29.58,1.058946984581553,0.019960061937602802
2.0,10,161.234,29.4028,1.2340281233676933,0.15721387829059452
2.0,11,160.239,29.4233,0.23902578895416582,0.13674497279449938
2.0,12,160.0372,29.3135,0.03717612273325699,0.24648573989828293
2.0,13,159.9477,29.6677,0.05226827620640506,0.10771642169737561
2.0,14,159.8182,29.62,0.18181881472415284,0.06003211384742002
2.0,15,160.4469,29.849,0.4468977311782112,0.2889881268216392
2.0,16,159.6217,29.5263,0.3782734006204862,0.033728283880556376
2.0,17,159.406,30.1896,0.5939971931715036,0.6296261672232184
2.0,18,160.9621,29.5725,0.9620809582993104,0.012493262735876698
2.0,19,160.5761,29.5664,0.57611190575102,0.0064229662107528895
2.0,20,160.142,29.3013,0.14195883403090193,0.2586861887216756
2.0,21,160.3572,29.3553,0.35722712729790373,0.20472281288770944
2.0,22,160.528,29.6845,0.5279707771877042,0.12453628296880837
2.0,23,160.2702,29.166,0.27020394426682515,0.3939966059387707
2.0,24,159.7498,29.4637,0.25022588281595404,0.0963039203017857
2.0,25,159.8359,29.2988,0.1640626145485271,0.2612008864118458
2.0,26,161.0354,29.5771,1.0354020601660636,0.017076875730484886
2.0,27,159.7537,29.5254,0.24628937317729083,0.03460775629601187
2.0,28,159.9442,29.5937,0.05579824784160792,0.03369457344912874
2.0,29,160.0159,29.8338,0.01593053574273995,0.27375147989365445
2.0,30,159.997,30.1833,0.0030457750317793852,0.6232674127200433
2.0,31,160.6068,29.4288,0.6067589663841773,0.1311927944823701
2.0,32,160.9873,29.3413,0.98732614001446,0.2186796424140276
2.0,33,160.5038,29.5191,0.5037911967253876,0.04091969151675556
2.0,34,160.7052,29.7598,0.705188293841644,0.1998353607893506
2.0,35,160.4732,29.6901,0.4731827388987426,0.1301468269506465
2.0,36,159.7523,29.2868,0.24767443925776433,0.27317339191973744
2.0,37,159.8921,29.4013,0.10786036094532392,0.1587433818396775
2.0,38,160.2471,29.5048,0.2470679852087585,0.05518217068591014
2.0,39,161.5102,29.6097,1.5102215607835774,0.049681190096425354
